SKUCode,Machines
1325213612065SULX0,"[8001, 8002, 8003, 6909, 6911, 8301]"
1325213612065SULX1,"[8001, 8002, 8003, 6909, 6911, 8301]"
1325214813075SUNE0,"[7102, 7103, 7201, 7105]"
1325215512071SULX0,"[8001, 8002, 8003, 6909, 6911, 8301]"
1D25115013008QXPC0,"[6802, 8301, 8302, 8501, 8502]"
1D25215Z13008QXPC0,"[6802, 8301, 8302, 8501, 8502]"
1325216614081SVEC0,"[7801, 7802, 7803, 7804, 6909, 6911, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7102, 7103, 7201, 7105, 7106]"
1325216513077TUSP0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1225221715115SSTLT,"[7101, 7102, 7104, 7105]"
1325217614084HURL0,"[7801, 7802, 7803, 6909, 6911, 6801, 6802, 6803, 8301, 8302, 8501, 8502]"
1325216814085STMX0,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7501, 7502, 7503, 7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1D25214012006QXC10,"[7801, 7802, 7803, 6909, 8301, 8302, 8501, 8201]"
1325217415081HUTR0,"[7001, 7002, 7003]"
1325217514082HURL0,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7102, 7103, 7104, 7201, 7105, 7106]"
1325217514082HURL1,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7102, 7103, 7104, 7201, 7105, 7106]"
1325217514082TTMX0,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7501, 7502, 7503, 7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003]"
1325217614084HURL2,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325213615099MSXT0,"[7801, 6911, 8301, 8302]"
1325217614084TVEC0,"[7501, 7502, 7503, 7102, 7103, 7104, 7201, 7105, 7106]"
1325217413077TUSP0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1325117613082TTOR0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1325217613082TTOR0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1325217613086TTOR0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1325217613082TUXP0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1325218515088HURL0,"[7502, 7503, 7101, 7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003]"
1325218413080TUSP0,"[7801, 7802, 7803, 8001, 8002, 8003, 6909, 6911, 6801, 8301, 8302, 8501, 8502, 7501, 7502, 7503]"
1325218414082HUSP0,"[7801, 7802, 7803, 6909, 6801, 6802, 6803, 8301, 8302, 8501, 8502]"
1325118613091TURO0,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502]"
1325218613086TURO0,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502]"
1325218614088HURL0,"[7102, 7103, 7201, 7105, 7106]"
1325218614088HURL1,"[7102, 7103, 7201, 7105, 7106]"
1325217515084HURL0,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325217614084HURL1,"[7801, 7802, 7803, 6801, 6802, 6803, 8301, 8302, 8501, 8502]"
1325217515084HURL1,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325218515088HURL1,"[7502, 7503, 7101, 7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325219515091VURL1,"[7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325219515091VURL0,"[7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325220515094VURL1,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325221416095VURLT,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325221416095VURL0,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325219515091VZEP0,"[7502, 7503, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325219515091VVEC0,"[7502, 7503, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325219515091HVEC0,"[7502, 7503, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325119614095SU210,"[7801, 7802, 7803, 7804, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7502, 7503]"
1325219614095SU210,"[7801, 7802, 7803, 7804, 6801, 6802, 6803, 8301, 8302, 8501, 8502, 7502, 7503]"
1325119615092STOR0,"[7801, 7802, 7803, 7804, 6801, 6802, 6803, 8301, 8302, 8501, 8502]"
1325119815106QBRQ0,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502, 7101, 7102, 7103, 7104, 7201, 7105, 7106]"
1325121715100SBRT0,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502, 7101, 7102, 7103, 7104, 7201, 7105, 7106]"
1325221715100SBRU0,"[7803, 7804, 7701, 8101, 7601, 8501, 8502, 7101, 7102, 7104, 7105, 7106]"
1325121715115SLTB0,"[7803, 7804, 7701, 8101, 7601, 8501, 8502, 7101, 7102, 7104, 7105, 7106]"
1225220Z16008RXC10,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502]"
1325220416092VURL0,"[7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1225221615008QXC10,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502]"
1225222615008RXC10,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502]"
1325220515094VURL0,"[7102, 7103, 7104, 7201, 7105, 7106, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325220515094VZEP0,"[7502, 7503, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325218413080TULX0,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1F25202013054DZZZ0,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1325220313105S2050,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1F25202013054WZZZ0,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1F25202213054DZZZ0,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1F25202213054WZZZ0,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1325220313105S2250,"[7801, 7802, 7803, 7804, 6802, 6803, 8301, 8302, 8501, 8502]"
1D25121716008SXC10,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502]"
1D25221716008SXC10,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502]"
1325123715105SBRT0,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502, 7101, 7102, 7103, 7104, 7201, 7105, 7106]"
1325223715105SBRT0,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502, 7101, 7102, 7103, 7104, 7201, 7105, 7106]"
1225121Z14112LSTL0,"[7803, 7804, 8501, 8502]"
1225170015010LSTL0,"[8501, 8502, 7301, 7101, 7102, 7104, 7105, 7106]"
1225170015012LSTL0,"[7803, 7804, 7701, 8101, 7601, 8501, 8502, 7301, 7101, 7102, 7104, 7105, 7106]"
1225222716121MXC10,"[7803, 7804, 8501, 8502]"
1325220415091VZEP0,"[7502, 7503, 7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325217514082TVECR,"[7102, 7103, 7104, 7201, 7105, 7106]"
1325217514082TVECH,"[7102, 7103, 7104, 7201, 7105, 7106]"
1325219316087VURL0,"[7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
1325119015008SRBT0,"[7801, 7802, 7803, 7804, 6802, 6803, 8501, 8502, 7101, 7102, 7103, 7104, 7201, 7105, 7106]"
1D25114012008QXPC0,"[7801, 7802, 7803, 7804, 6909, 8301, 8302, 8501, 8502, 8201]"
1225223516121PSKP0,"[7101, 7102, 7103, 7104, 7201, 7105, 7106]"
1225121715115SSTL0,"[7101, 7102, 7104, 7105, 7106]"
1325221317098VUX10,"[7001, 7002, 7003, 7004, 6001, 6002, 6003, 6004]"
