MachineCode,MachineName,SameSize_Min,DifferentSize_Min
7801,MID-1,60,180
7802,MID-2,60,180
7803,MID-3,60,180
7804,MID-4,60,180
7701,MID-5,60,180
8101,88D1,60,180
7601,LTM,60,180
8001,SAI-1,60,180
8002,SAI-2,60,180
8003,SAI-3,60,180
6909,NRM-09,60,180
6911,NRM-11,60,180
6801,BJ-1,60,180
6802,BJ-2,60,180
6803,BJ-3,60,180
8301,GTIC-1,59,88
8302,GTIC-2,59,88
8501,VMI-1,59,88
8502,VMI-2,59,88
8201,OLD IRM,59,88
7301,NEW-IRM,59,88
7501,UNISTAGE-1,110,180
7502,UNISTAGE-2,110,180
7503,UNISTAGE-3,110,180
7101,BJ-4,45,90
7102,BJ-5,45,90
7103,BJ-6,45,90
7104,BJ-7,45,90
7201,BJ-8,45,90
7105,BJ-9,45,90
7106,BJ-10,45,90
7001,Vmimax-1,20,120
7002,Vmimax-2,20,120
7003,Vmimax-3,20,120
7004,Vmimax-4,20,120
6001,VMIExxium01,20,120
6002,VMIExxium02,20,120
6003,VMIExxium03,20,120
6004,VMIExxium04,20,120
