SAPMachineCode,MachineName,StageName,Norms,CycleTime_min
7001,Vmimax-1,combined,500,0.96
7002,Vmimax-2,combined,500,0.96
7003,Vmimax-3,combined,500,0.96
7004,Vmimax-4,combined,500,0.96
7101,BJ-4,combined,280,1.7
7102,BJ-5,combined,280,1.7
7103,BJ-6,combined,370,1.3
7104,BJ-7,combined,270,1.8
7105,BJ-9,combined,270,1.8
7106,BJ-10,combined,500,0.96
7201,BJ-8,combined,450,1.1
7301,NEW-IRM,stage2,320,1.5
7501,UNISTAGE-1,combined,270,1.8
7502,UNISTAGE-2,combined,260,1.8
7503,UNISTAGE-3,combined,260,1.8
8201,OLD IRM,stage2,400,1.2
8301,GTIC-1,stage2,370,1.3
8302,GTIC-2,stage2,370,1.3
8501,VMI-1,stage2,260,1.8
8502,VMI-2,stage2,230,2.0
6801,BJ-1,stage1,192,2.5
6802,BJ-2,stage1,132,3.6
6803,BJ-3,stage1,110,4.3
6909,NRM-09,stage1,154,3.1
6911,NRM-11,stage1,192,2.5
7601,LTM,stage1,114,4.2
7701,MID-5,stage1,108,4.4
7801,MID-1,stage1,176,2.7
7802,MID-2,stage1,158,3.0
7803,MID-3,stage1,110,4.4
7804,MID-4,stage1,112,4.3
8001,SAI-1,stage1,252,1.9
8002,SAI-2,stage1,170,2.8
8003,SAI-3,stage1,254,1.9
8101,88D1,stage1,96,5.0
6001,VMIExxium01,combined,500,0.96
6002,VMIExxium02,combined,500,0.96
6003,VMIExxium03,combined,500,0.96
6004,VMIExxium04,combined,500,0.96
