SKUCode,CycleTime_min
1325213612065SULX1,16.0
1325213612069SULXT,17.0
1325215512071SULX0,17.0
1325214612069TUHL0,15.0
1325114612069TUHL0,15.0
1325214612069TUNX0,15.0
1D25214012008QXPC0,17.0
1D25114012008QXPC0,17.0
1D25213812090FXPC0,17.0
1325214812074TUHL0,15.0
1325114812074TUHL0,15.0
1325114812074TUNX0,15.0
1325214812074TUNX0,15.0
1325214812074TTMX0,14.0
1D25212812074FXC10,18.0
1D25214012006QXC10,18.0
1D25212812086FXPC0,19.0
1D25215Z13008QXPC0,20.0
1D25115013008QXPC0,20.0
1325216813083TUNE0,18.0
1225216Z13008RXC10,19.0
1325217413077TUSP0,16.0
1325217413082TUSP0,16.0
1325218613086TURO0,18.0
1325214813075SUNX0,15.0
1325114613071TTMX0,15.0
1325214613071TTMX0,15.0
1325114613071TUNX0,15.0
1325214613071TUNX0,15.0
1325215513073TUHL0,16.0
1325215613075TUNX0,16.0
1325215613075TUHL0,15.0
1325215813079STMX0,16.0
1325215813079SUHL0,16.0
1325217613082TTOR0,15.0
1325217613082TUXP0,16.0
1325218413080TULX0,22.0
1325218413080TUSP0,17.0
1325220413087VZEP0,16.0
1325215613075TTMX0,16.0
1325214813075SUNE1,15.0
1325218413085TUSP0,17.0
1325216513077TUSP0,17.0
1325215813079TUNE6,15.0
1D25215013008SXC11,19.0
1325214813075STMX0,16.0
1325216513077TUHL0,16.0
1325217613082TUNE0,15.0
1325216814085TURL0,15.0
1D25218014012QSTL0,31.0
1325219414086VZEP0,16.0
1325219614095SU210,19.0
1325119614095SU210,19.0
1225121Z14112LSTL0,33.0
1325215614077TVEC0,17.0
1325216814085STMX0,16.0
1325217414079HURL0,18.0
1325217514082TVECH,18.0
1325217514082TTMX0,17.0
1325217514082HURP0,16.0
1325217514082HURL0,16.0
1325217514082HURL1,16.0
1325217514082HVEC0,16.0
1325217514082HVECL,14.0
1325217614084TVEC0,16.0
1325217614084TVECE,16.0
1325217614084TVECL,16.0
1325217614084HURL1,16.0
1325217614084HURL0,16.0
1325217614084HURL2,16.0
1325216814085SUTR0,17.0
1325216514079TTMX0,17.0
1325217514082TUTR0,17.0
1325216614081STMX0,16.0
1325218514086HURL0,16.0
1325218614088HURL0,17.0
1325218614088TVECE,16.0
1325216814085TURS0,15.0
1225219015010QSTL0,31.0
1225219015012NSTL0,31.0
1225170015010LSTL0,31.0
1225170015012LSTL0,31.0
1325213615099MSXT0,16.0
1325217415081HUTR0,16.0
1325218415084TVC20,18.0
1325218415084TVEC0,18.0
1325218415084TTMX0,17.0
1325218415084TUTR0,17.0
1325218515088TURL0,16.0
1325218515088HUTR0,17.0
1325218515088HURL0,17.0
1325218515088HURL1,17.0
1325219515091VURL0,17.0
195655VECTR91HTL,16.0
1325219515091VZEP0,16.0
1325119815106QBRQ0,29.0
1225219015008SLTB0,27.0
1325219015008SRBT0,29.0
1325119015008SRBT0,29.0
1325220415091VZEP0,18.0
1325220515094VTMX0,18.0
1325220515094VUTR0,17.0
1325220515094VUTP0,17.0
1325220515094VURL0,18.0
1325220515094VURL1,18.0
1325220515094VZEP0,16.0
1225221615008QXC10,27.0
1225221715115SSTL0,30.0
1325121715115SLTB0,29.0
1325121715008SLTB0,29.0
1325121715100SRXT0,20.0
1325221715100SRXT0,20.0
1225121715115SSTL0,30.0
1325121715100SBRT0,21.0
1225222615008RXC10,27.0
1325223715105SRXT0,20.0
1325123715105SRXT0,20.0
1325123715105SBRT0,21.0
1325223715105SBRT0,21.0
1325218515088HURP0,17.0
1325218515088HTMX0,16.0
1225119015010QSTL0,31.0
1325221715100SRHT0,18.0
1325219415088VURL1,17.0
1225175016012NJTL0,43.0
1225220Z16008RXC10,27.0
1425118916008QBRN0,28.0
1425118916008QRBT0,28.0
1325219316087VURL0,16.0
1325219316087VUTR0,17.0
1325220316091VURL1,16.0
1325220316094VUX10,18.0
1325220416092VURL0,18.0
1325220416092VVEC0,18.0
1325220516095HUTR0,19.0
1325221416095VURL0,16.0
1225222716121MXC10,30.0
1225222716121MXC11,34.0
1325223916120QRAB0,31.0
1325219316087VURP0,16.0
1225223516121PSKP0,27.0
1325219416089VURL0,18.0
1325219416089HRHE0,16.0
1325223616105HRHT0,18.0
1325221317098VUX10,17.0
1325221417096HRHT0,18.0
1325221417096HURL0,20.0
1325221417100HURL1,20.0
1325222217098VUX10,17.0
1325222317101VUX10,16.0
1325222417099HURL0,17.0
1325223317099VUX10,17.0
1325223517104HBHT0,19.0
1325223517104HETR0,18.0
1325223517104HRHT0,19.0
1325226517112HRHT0,17.0
1325225518115QRAT0,24.0
1325221318099HURL0,19.0
1325225518111HRHB1,18.0
