SKUCode,Quantity,Priority
1225221715115SSTL0,7667,0.02056
1225121Z14112LSTL0,1787,0.004792
1325221715100SRHT0,19000,0.050952
1325217514082TUTR0,2515,0.006744
1325223616105HRHT0,2847,0.007635
1225121715115SSTL0,5668,0.0152
1325121715100SRBT0,4569,0.012253
1325119015008SRBT0,12000,0.03218
1325221715100SRXT0,4000,0.010727
1225222716121MXC11,1079,0.002894
1325217415081HUTR0,1524,0.004087
1225119015010QSTL0,1703,0.004567
1425118916008QRBT0,9000,0.024135
1325216513077TUHL0,3005,0.008058
1325214813075SUNE1,74580,0.7
1325114613071TTMX0,148,0.000397
1225221716010SXC10,1320,0.50354
1325220516095HUTR0,1586,0.004253
1325123715105SBRT0,6500,0.017431
1325215813079STMX0,10000,0.026817
1325221416095VURL0,12000,0.03218
1325213612065SULX1,752,0.002017
1325221417100HURS0,300,0.000805
1325119815106QBRQ0,5830,0.515634
1225121716010SXC10,450,0.501207
1325218515088TURL0,2136,0.005728
1325114612069TUHL0,0,0.0
1325214612069TUHL0,6000,0.01609
1325221416095VURS0,300,0.000805
1325216814085TURS0,300,0.000805
1225170015010LSTL0,5200,0.513945
1325214812074TTMX0,0,0.0
1325218515088TURS0,300,0.000805
1325222417099HURL0,2500,0.006704
1325218415084TTMX0,1557,0.004175
1325223517104HRPG0,579,0.001553
1325215813079SUHL0,12000,0.03218
1325223517104HRHT0,8000,0.021453
1225170015012LSTL0,50000,0.134084
1325218614088HURL0,1034,0.002773
1325216614081STMX0,6634,0.01779
1325217514082HURP0,421,0.001129
1325221317098VUX10,4,1.1e-05
1325216814085SUTR0,5181,0.013894
1325217614084HURL1,1379,0.003698
1325214813075STMX0,2900,0.007777
1325226517112HRHT0,2000,0.005363
1225219015010QSTL0,2900,0.007777
1325121715100SRXT0,3188,0.008549
1325216814085TURL0,5113,0.013711
1325121715115SLTB0,4770,0.012792
1325219316087VURP0,609,0.001633
1325221417100HURL1,17000,0.045589
1325215513073TUHL0,7747,0.020775
1325215613075TUHL0,9200,0.024671
1325223715105SRXT0,3274,0.00878
1325219416089HRHE0,5000,0.013408
1325218515088HUTR0,4924,0.013205
1325220316091VURL1,2004,0.005374
1325220515094VUTR0,6098,0.016353
1325216514079TTMX0,5318,0.014261
1D25212812086FXPC0,25800,0.569187
1325219316087VUTR0,7000,0.018772
1325123715105SRXT0,900,0.002414
1325218515088HURP0,456,0.001223
1325217413077TUSP0,5703,0.015294
1325217514082TTMX0,6492,0.017409
1325216614081SUTR0,5866,0.015731
1225223516121PSKP0,3020,0.008099
1325121715100SBRT0,4000,0.010727
1325214612069TUHL0,0,0.0
1D25215Z13008QXPC0,3500,0.509386
1225121716010SXC10,1541,0.004132
1D25212812074FXC10,30360,0.581416
1225223516121PSKP0,8400,0.522526
1D25213812090FXPC0,29040,0.577876
1325215613075TTMX0,4239,0.011368
1D25215Z13008QXPC0,1648,0.004419
1225221715115SSTL0,6500,0.517431
1325217515084HURP0,0,0.0
1325214613071TTMX0,289,0.000775
1325217514082TVECH,0,0.0
1325114812074TUHL0,20000,0.053634
1325213612065SULX1,0,0.5
1D25115013008QXPC0,1500,0.004023
1225170015012LSTL0,15500,0.541566
1325220516095HTMX0,5000,0.013408
1325217514082TVECH,3200,0.508581
1325220515094VTMX0,651,0.001746
1325216814085STMX0,14000,0.037544
1325220416092VURL0,0,0.0
1325220515094VZEP0,0,0.0
1325119815106QBRQ0,59,0.000158
1325219416089HRHE0,12000,0.53218
1325213615099MSXT0,8500,0.522794
1325218515088HTMX0,12000,0.03218
1325219316087VURL0,0,0.0
1225221716010SXC10,0,0.0
1325214812074TUHL0,27000,0.072405
1D25214012006QXC10,0,0.0
1325216814085SURL0,6076,0.016294
1325218615089HURL0,1314,0.003524
1325220416092VURP0,536,0.001437
1325216813083TUNE0,4000,0.010727
1325223418103HRHP0,2500,0.006704
1325218514086HURL0,2500,0.006704
1325219415088VURL1,2000,0.005363
1325218416086VURL0,2500,0.506704
1325216814085TURP0,1000,0.502682
1225222716121NXC11,200,0.500536
1D25214012006QXC10,300,0.500805
1D25214012008QSTL0,3000,0.008045
1D25114012008QSTL0,3000,0.008045
1D25215013008SXC11,26000,0.569724
1325216614081TVECE,290,0.417444
1325217613082TUNE0,4202,0.427935
1325217613082TUNE2,2618,0.423687
1325217614084HURL2,1295,0.420139
1325218614092VURL0,11,0.416696
1325219515091VZEP0,951,0.419217
1325219515095VLHP0,12,0.416699
1325220316091VURL1,774,0.418742
1325220515094VZEP0,558,0.418163
1325221117091YLEV0,20,0.41672
1325221217095YLEV0,40,0.416774
1325221317098VUX10,98,0.416929
1325222217098VUX10,26,0.416736
1325222317101VUX10,456,0.41789
1325223916120QRAB0,1113,0.419651
1325226517112HRHT0,1325,0.42022
1325220515094VURL1,0,0.416667
1325226517112HRHT0,0,0.416667
1225221615008QXC10,615,0.418316
1225222615008RXC10,93,0.416916
1225219015008SLTB0,346,0.417595
1225220Z16008RXC10,242,0.417316
1225223516121RBVN0,711,0.418573
1325216814085TURL0,0,0.416667
1325220416092VURP0,0,0.416667
1325218614088HURL0,0,0.416667
1325217613082TUNE2,0,0.416667
1325222317101VUX10,0,0.416667
