SKUCode,GT_Inventory
1325216814085SURL0,427
1225170015012LSTL0,395
1325217614084HURL2,355
1D25212812086FXPC0,332
1D25212812074FXC10,331
1325221417100HURL1,325
1325217514082TTMX0,298
1325218615089HURL0,265
1325216814085STMX0,256
1D25213812090FXPC0,255
1325215613075TTMX0,228
1325214813075SUNE1,227
1325226517112TRAB0,210
1325217613082TUNE2,185
1D25215013008SXC11,182
1425118916008QRBT0,161
1225221715115SSTL0,158
1225223516121PSKP0,153
1D25115013008QXPC0,151
1225221615008QXC10,151
1325114812074TUHL0,148
1325218614088TVECE,148
1325216614081STMX0,147
1325218515088HTMX0,136
1325213612065SULX1,131
1325217413077TUSP0,121
1225170015010LSTL0,113
1325221715100SRHT0,96
1325218415084TTMX0,90
1325216614081SUTR0,89
1325214613071TTMX0,89
1325220316094VUX10,87
1325217613082TUNE0,86
1325222318102VRHE1,75
1325119815106QBRQ0,70
1325121715115SLTB0,62
1325218515088HUTR0,56
1325221416095VURL0,51
1325215513073TUHL0,39
1325217415081HUTR0,39
1325223517104HRHT0,38
1D25214012008QSTL0,28
1325215813079STMX0,15
1325121715100SBRT0,12
1325217514082TVECH,3
1225222716121NXC11,1
1325220515094VURL1,1
