Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
14801,1325216814085SURL0,"['B1658014UXROYLGR14', 'B1658014UXROYLGR07']",1978,2
14802,1325220515094VUTR0,"['B2056515TORINGGC02', 'B2056515TORINGHB01']",2966,2
14803,1325220515094VUTR0,"['B2056515TORINGHM02', 'B2056515TORINGHM01']",2992,2
14804,1325217614084HURL2,"['B1757014UXROYHMI04', 'B1757014UXROYHMI03']",2081,2
14805,1325221715100SRHT0,"['C21575R15RHTTLHM14', 'C21575R15RHTTLHM13']",2412,2
14806,1225121716010SXC10,"['B215/75R16XPC1GC03', 'B215/75R16XPC1GC01']",2758,2
14807,1325214813075SUNE1,"['B1458013ULNEO1GC10', 'B1458013ULNEO1GC09']",290,2
14808,1225221716010SXC10,"['B215/75R16XPC1GC02', 'B21575R16XPC1HMI01']",2698,2
14809,1325215813079SUHL0,"['B1558013ULHLIFHM02', 'B1558013ULHLIFGC01']",1445,2
14810,1D25215013008SXC11,"['B155R13ULXPC1HMI07', 'B155R13ULXPC1HMI06']",2372,2
14811,1325220516095HUTR0,"['B2056516UXTOUHMI02', 'B2056516UXTOURGC01']",1047,2
14812,1325216814085SURL0,"['B1658014UXROYLHM08', 'B1658014UXROYLHM06']",1931,2
14813,1325217614084HURL2,"['B1757014UXROYHMI02', 'B1757014UXROYHMI01']",2724,2
15201,1325216814085STMX0,"['B1658014TAXIMXHM04', 'B1658014TAXIMXGC03']",857,2
15202,1225223516121PSKP0,"['B23565R16SKNGHMI04', 'B23565R16SKINGGC01']",2032,2
15204,1325219416089HRHE0,"['B1956016RNHPEGC04', 'B1956016RNHPEGC01']",2015,2
15205,1325214813075SUNE1,"['B1458013ULTNEOGC02', 'B1458013ULTNEOGC01']",2559,2
15206,1325221715100SRHT0,"['C21575R15RHTTLHM08', 'C21575R15RHTTLHM03']",2222,2
15207,1225221716010SXC10,"['B215/75R16XPC1GC04', 'B21575R16XPC1HMI02']",2703,2
15208,1325218515088TURL0,"['B1856515UXROYLHM04', 'B1856515UXROYLGC02']",2992,2
15209,1225223516121PSKP0,"['B23565R16SKINGGC03', 'B23565R16SKINGGC02']",2153,2
15210,1325221715100SRHT0,"['C21575R15RHTTLHM12', 'C21575R15RHTTLHM04']",2292,2
15211,1D25215013008SXC11,"['B155R13ULXPC1HMI05', 'B155R13ULXPC1HMI03']",1229,2
15212,1225223516121PSKP0,"['B23565R16SKINGGC05', 'B23565R16SKINGGC04']",2077,2
15213,1225223516121PSKP0,"['B23565R16SKINGGC06', 'B23565R16SKNGHMI03']",2732,2
24801,1325219316087VUTR0,"['C19555R16UXTTLHM02', 'C19555R16UXTTLHM01']",2968,2
24802,1325214813075SUNE1,"['B1458013ULNEO1HM10', 'B1458013ULNEO1HM09']",2644,2
24803,1325219316087VURL0,"['C19555R16UXRHYHM04', 'B19555R16UXRYLGC01']",2484,2
24804,1D25215013008SXC11,"['C155R13ULTXPC1HM03', 'C155R13ULTXPC1HM02']",777,2
24805,1325216614081SUTR0,"['C16570R14UXTTLHM02', 'C16570R14UXTTLHM01']",2852,2
24806,1325215513073TUHL0,"['C15565R13ULTLHMI02', 'C15565R13ULTLHMI01']",961,2
24807,1D25215013008SXC11,"['B155R13ULXPC1HMI02', 'B155R13ULXPC1HMI01']",2109,2
24808,1D25215013008SXC11,"['C155R13ULTXPC1HM24', 'C155R13ULTXPC1HM01']",2795,2
24809,1325219316087VURL0,"['C1955R16UXRHYCHM02', 'C1955R16UXRHYCHM01']",2408,2
24810,1325221417100HURL1,"['B2156017UXROYLGC04', 'B2156017UXROYLGC03']",2669,2
24811,1325214813075SUNE1,"['B1458013ULNEO1HM05', 'B1458013ULNEO1HI01']",836,2
24812,1325216814085SUTR0,"['C16580R14ELZTHM04', 'C16580R14ELZTHM01']",2987,2
24813,1325214813075SUNE1,"['B1458013ULNEO1GC20', 'B1458013ULTNEOHM01']",1556,2
24814,1325215813079STMX0,"['C15580R13TAXIMHM03', 'C15580R13TAXIMGC01']",1701,2
24815,1325214813075SUNE1,"['B1458013ULNEO1HM12', 'B1458013ULNEO1HM08']",1084,2
24816,1325221715100SRHT0,"['C21575R15RHTTLHM02', 'C21575R15RHTTLHM01']",2818,2
24817,1325217613082TUNE2,"['B1757013ULTNEOGC02', 'B1757013ULTNEOGC01']",1425,2
24818,1325216614081SUTR0,"['C16570R14UXTTLHM04', 'C16570R14UXTTLHM03']",2868,2
24819,1325220516095HUTR0,"['B2056516UXTOURGC02', 'B2056516UXTOUHMI01']",1102,2
24820,1325219316087VURL0,"['B19555R16UXRLHMI02', 'B19555R16UXRLHMI01']",717,2
24821,1D25215013008SXC11,"['C155R13ULTXPC1HM20', 'C155R13ULTXPC1HM18']",2456,2
24822,1325215813079SUHL0,"['B1558013ULHLIFGC03', 'B1558013ULHLIFHM01']",1533,2
24824,1325217514082HURL2,"['B17565R14UXROLGC08', 'B17565R14UXROLGC07']",1380,2
24825,1325221715100SRXT0,"['B2157515RAXATHMI02', 'B2157515RANXATTY01']",2845,2
24826,1325214813075SUNE1,"['B1458013ULNEO1GC08', 'B1458013ULNEO1GC07']",1548,2
4401,1D25212812074FXC10,"['B1208012ULXPC1GC03', 'B1208012ULXPC1GC01']",1015,2
4402,1225170015012LSTL0,"['B70015STKINGLTHM36', 'B70015STKINGLTHM35']",2465,2
4403,1325214812074TUHL0,"['B1458012ULHLIFGC04', 'B1458012UHLIFHMI04']",2096,2
4404,1D25213812090FXPC0,"['B13080R12UXPCHMI07', 'B13080R12UXPCHMI04']",725,2
4405,1325119815106QBRQ0,"['B1958015BRTLTHMI03', 'B1958015BRTLTHMI02']",1093,2
4406,1D25212812074FXC10,"['B1208012ULXPC1GC10', 'B1208012ULXPC1GC02']",1035,2
4407,1D25212812086FXPC0,"['B1208012ULXPCHMI09', 'B1208012ULXPCHMI08']",1756,2
4408,1325119815106QBRQ0,"['B1958015BRUTLTHM06', 'B1958015BRUTLTHM03']",2204,2
4409,1D25213812090FXPC0,"['B13080R12ULXPCGC02', 'B13080R12UXPCHMI01']",1530,2
4410,1225170015012LSTL0,"['B70015STKINGLTHM26', 'B70015STKINGLTGC06']",2315,2
4411,1325119015008SRBT0,"['B19515RANBRUTHMI02', 'B19515RANBRUTHMI01']",2310,2
4412,1225221715115SSTL0,"['B2157515STLKNGHM14', 'B2157515STLKGBHM09']",2745,2
4413,1225170015012LSTL0,"['B70015STKINGLTHM51', 'B70015STKINGLTHM38']",2885,2
4414,1225170015012LSTL0,"['B70015STKINGLTHM50', 'B70015STKINGLTHM49']",1283,2
4415,1325221715100SRXT0,"['B2157515RAXATHMI03', 'B2157515RAXATHMI01']",2510,2
4416,1D25214012006QXC10,"['B14512ULTXPC1HMI02', 'B14512ULTXPC1HMI01']",2987,2
4417,1325119015008SRBT0,"['B19515RANBRUT-HM04', 'B19515RANBRUT-HM03']",2182,2
4801,1225219015010QSTL0,"['B195R15STLKNGHMI02', 'B195R15STLKNGHMI01']",2727,2
4802,1225219015010QSTL0,"['B195R15STLKNGHMI03', 'B195R15STLKINGHM02']",2754,2
4901,1225170015012LSTL0,"['B70015STKINGLTGC01', 'B70015STKINGLTGC13']",2304,2
4902,1225170015012LSTL0,"['B70015STKINGLTHM34', 'B70015STKINGLTGC04']",1740,2
4903,1225170015012LSTL0,"['B70015STKINGLTHM18', 'B70015STKINGLTGC05']",2746,2
4904,1325119815106QBRQ0,"['B1958015BRUTLTHM07', 'B1958015BRTLTHMI01']",2637,2
4906,1325123715105SBRT0,"['B2357515BRT4LTHM02', 'B2357515BRT4LTHM01']",1904,2
4907,1225170015012LSTL0,"['B70015STKINGLTHM40', 'B70015STKINGLTHM39']",309,2
4908,1325217514082TVECH,"['B1756514VECTRAGR05', 'B1756514VECTRAGR03']",2789,2
4909,1225170015012LSTL0,"['B70015STKINGLTHM25', 'B70015STKINGLTHM23']",1659,2
4910,1325123715105SBRT0,"['B2357515BRT4LTHM05', 'B2357515BRT4LTHM04']",2599,2
4911,1225121Z14112LSTL0,"['B21514STKINGDCDC09', 'B21514STKINGDCDC07']",2476,2
4912,1225121Z14112LSTL0,"['B21514STKINGDCDC10', 'B21514STKINGDCDC06']",2464,2
4913,1325213615099MSXT0,"['B13570R15STRXTSX03', 'B13570R15STRXTSX05']",2712,2
4914,1325213615099MSXT0,"['B13570R15STRXTHM03', 'B13570R15STRXTSX06']",2845,2
4915,1325213615099MSXT0,"['B13570R15STRXTSX02', 'B13570R15STRXTHM01']",1692,2
4916,1225170015012LSTL0,"['B70015STKINGLTHM42', 'B70015STKINGLTHM37']",730,2
4917,1225170015012LSTL0,"['B70015STKINGLHMI18', 'B70015STKINGLTHM09']",1053,2
4918,1325119815106QBRQ0,"['B1958015BRUTLTHM09', 'B1958015BRUTLTHM08']",2504,2
4919,1225170015012LSTL0,"['B70015STKINGLTGC17', 'B70015STKINGLTGC11']",1752,2
4921,1325119815106QBRQ0,"['B1958015BRUTLTHM05', 'B1958015BRUTLTHM04']",1915,2
4922,1225170015012LSTL0,"['B70015STKINGLTHM28', 'B70015STKINGLTGC20']",1486,2
4923,1325217514082TVECH,"['B1756514VECTRAGC12', 'B1756514VECTRAGC09']",2878,2
4924,1225170015012LSTL0,"['B70015STKINGLHMI20', 'B70015STKINGLHMI19']",2085,2
4925,1225170015012LSTL0,"['B70015STKINGLTHM45', 'B70015STKINGLTHM44']",2303,2
54801,1325218515088HUTR0,"['C18565R15UXTTLUZ02', 'C18565R15UXTTLUZ01']",2255,2
54802,1325218515088HTMX0,"['B18565R15TAXMHMI04', 'B18565R15TAXMHMI03']",1680,2
54803,1325216614081STMX0,"['B1657014TAXIMXGC04', 'B1657014TAXIMXGC03']",1667,2
54804,1325216814085SUTR0,"['C16580R14ELZTGC06', 'C16580R14ELZTHM02']",2966,2
75201,1325217514082HURL2,"['B17565R14UXROLGC02', 'B17565R14UXROLGC01']",1370,2
75202,1325219416089HRHE0,"['B1956016RNHPEGC03', 'B1956016RNHPEGC02']",2216,2
75203,1325214813075SUNE1,"['B1458013ULNEO1HM11', 'B1458013ULNEO1GC03']",1567,2
